ax,ay,az,gx,gy,gz,d1,d2,d3,d4,target
10903,-5228,10071,-232,-2047,-1946,461.0,417.0,603.0,611.0,0
11031,-5708,10231,-481,-1889,-1806,461.0,409.0,596.0,611.0,0
11167,-6392,9967,-149,-2049,-1519,456.0,425.0,588.0,603.0,0
11295,-6456,9879,408,-2075,-1164,461.0,438.0,596.0,611.0,0
11423,-6336,9875,674,-1986,-809,542.0,417.0,603.0,611.0,0
11555,-6264,9699,162,-1763,-678,465.0,413.0,596.0,603.0,0
11431,-7412,10135,207,-1299,-553,461.0,447.0,588.0,611.0,0
11475,-7248,10279,599,-1291,-298,461.0,421.0,596.0,611.0,0
11499,-6820,10411,754,-1416,112,456.0,413.0,596.0,603.0,0
11519,-6576,10199,365,-1506,363,461.0,425.0,588.0,611.0,0
11695,-6908,10111,-83,-1525,479,461.0,421.0,596.0,618.0,0
11651,-6984,9967,-117,-1677,747,461.0,430.0,596.0,618.0,0
11815,-7000,9479,73,-1866,965,461.0,425.0,596.0,611.0,0
11711,-6936,9219,292,-1832,1121,456.0,405.0,596.0,618.0,0
11971,-6712,9131,108,-1923,1167,461.0,417.0,596.0,611.0,0
11859,-6816,9235,-185,-1666,1167,456.0,421.0,588.0,611.0,0
11887,-7088,9127,230,-2131,1305,461.0,425.0,596.0,611.0,0
11743,-7000,9339,51,-2256,1533,461.0,438.0,596.0,603.0,0
11383,-7512,8819,257,-2056,1481,461.0,430.0,574.0,611.0,0
11315,-7328,9079,193,-2311,1542,461.0,421.0,581.0,603.0,0
11259,-7108,8803,298,-2319,1756,456.0,442.0,588.0,618.0,0
11091,-7424,8979,479,-2712,1731,461.0,438.0,588.0,618.0,0
11151,-7528,9083,649,-2790,1741,461.0,425.0,596.0,611.0,0
11343,-7608,8935,798,-2976,1813,461.0,417.0,588.0,618.0,0
11619,-7440,8739,418,-2809,1889,461.0,421.0,588.0,603.0,0
11627,-7684,8107,181,-2440,2058,470.0,421.0,574.0,611.0,0
11675,-7628,7963,193,-2075,2277,461.0,438.0,588.0,611.0,0
12155,-7728,7599,230,-1644,2608,461.0,447.0,603.0,603.0,0
12267,-7968,7387,250,-1099,2799,456.0,417.0,581.0,611.0,0
12407,-8500,7303,380,-722,2822,456.0,409.0,588.0,603.0,0
12167,-8648,7303,469,-315,2678,456.0,434.0,588.0,611.0,0
12139,-8596,7491,1105,-17,2547,456.0,421.0,596.0,603.0,0
11851,-8920,7291,937,74,2382,456.0,413.0,568.0,603.0,0
11375,-9512,7107,1470,-107,1711,456.0,417.0,588.0,611.0,0
11447,-9408,6851,1802,-304,1045,461.0,430.0,596.0,618.0,0
11363,-9228,6871,2403,-509,498,456.0,430.0,596.0,611.0,0
11387,-8712,6939,2734,-541,31,461.0,430.0,596.0,603.0,0
11295,-8628,7043,3199,-539,-241,456.0,417.0,596.0,611.0,0
11311,-8280,7207,4044,-440,-466,456.0,417.0,596.0,611.0,0
11167,-7712,7823,4245,-236,-566,461.0,425.0,588.0,611.0,0
10947,-7320,8939,4268,-135,-626,456.0,430.0,588.0,603.0,0
10751,-7016,10263,3348,-223,-372,451.0,421.0,588.0,603.0,0
10631,-7112,10751,3018,-603,-160,456.0,421.0,588.0,611.0,0
10907,-7088,11051,2412,-821,-207,461.0,434.0,588.0,611.0,0
11083,-7428,11147,1953,-1147,-218,456.0,442.0,588.0,603.0,0
11203,-7820,10855,1152,-1249,-126,461.0,413.0,596.0,603.0,0
11583,-7848,10499,391,-1349,-32,456.0,409.0,588.0,611.0,0
11951,-7892,10267,-219,-1312,35,456.0,417.0,588.0,611.0,0
